bble,lat,lng,2010,2011,2012,2013,2014,neighborhood
1004650050,40.72963,-73.98734,4920000,5660000,6687000,6337000,7037000,0
1020340003,40.8249,-73.94008,1000000,1320000,1412000,1182000,1282000,14
1010090029,40.76409,-73.97784,60100000,60400000,64792000,77657000,80762000,9
1013970130,40.76386,-73.96572,4570000,4570000,1595000,1980000,1960000,12
1019400131,40.81504,-73.94432,891000,891000,334000,264000,263000,14
1005880054,40.73315,-74.00483,5410000,5200000,5883000,6018000,5988000,22
1005880051,40.73311,-74.00504,2170000,2320000,2878000,2859000,3783000,22
1005880050,40.73307,-74.00517,5500000,5500000,2291000,2621000,2548000,22
1021260010,40.84178,-73.93831,1500000,1510000,1616000,1646000,1728000,19
1005880059,40.73319,-74.00451,3440000,3440000,1430000,1636000,1590000,22
1005880058,40.73317,-74.00457,1120000,1140000,1710000,1975000,1920000,22
1004040038,40.72723,-73.98031,1580000,2480000,1890000,2073000,2271000,0
1004040034,40.72708,-73.98002,3290000,3290000,3151000,2826000,2261000,0
1004040035,40.72711,-73.98009,1010000,1570000,2018000,1739000,1905000,0
1004040036,40.72716,-73.98015,1810000,3320000,2189000,2290000,2509000,0
1001510001,40.71582,-74.00584,82000000,82000000,84991000,85310000,88722000,20
1004040030,40.72732,-73.97982,1840000,1620000,2430000,1620000,1775000,0
1004040031,40.72725,-73.97984,1320000,3520000,3842000,1921000,1782000,0
1004040032,40.7272,-73.97988,1020000,1090000,1635000,1307000,1432000,0
1004040033,40.72708,-73.97992,1760000,1760000,2049000,2103000,2176000,0
1006960037,40.74895,-74.00361,1020000,880000,1320000,1955000,1906000,21
1021320001,40.84499,-73.93482,1060000,1140000,1710000,1620000,1621000,19
1015850013,40.77691,-73.94491,1350000,1390000,1807000,1769000,1667000,8
1015850012,40.77694,-73.94499,880000,992000,1092000,1068000,1125000,8
1015850014,40.77688,-73.94478,2430000,2550000,3033000,3269000,3353000,8
1021320007,40.84522,-73.93458,1790000,1530000,1637000,1722000,1666000,19
1015850016,40.77681,-73.94467,1810000,1750000,1997000,1767000,1855000,8
1015850018,40.77674,-73.94447,4260000,4210000,5010000,5061000,5136000,8
1017500104,40.80642,-73.94167,546000,443000,400000,317000,316000,26
1019270042,40.80727,-73.95076,236000,271000,407000,488000,586000,25
1019270043,40.80731,-73.95085,427000,358000,333000,263000,263000,25
1019270040,40.80719,-73.95063,81400,137000,137000,206000,228000,25
1019270041,40.80723,-73.95066,981000,1130000,961000,965000,1158000,25
1014470023,40.76819,-73.95614,22100000,22500000,23123000,23541000,24670000,13
1019270044,40.80732,-73.95094,1860000,379000,276000,304000,456000,25
1019270045,40.80737,-73.95105,1860000,384000,422000,464000,535000,25
1019270049,40.8075,-73.95137,860000,399000,598000,798000,820000,25
1008650007,40.74894,-73.98322,12200000,11300000,13117000,12685000,11393000,11
1004060059,40.72895,-73.9806,1320000,1610000,1914000,1672000,1936000,0
1017260152,40.8094,-73.94198,746000,1000000,307000,243000,243000,14
1020830008,40.83005,-73.94673,1050000,1070000,1357000,1292000,1252000,3
1015950065,40.799,-73.95101,1250000,1460000,1562000,1704000,1754000,25
1008180025,40.73809,-73.99399,9510000,8510000,7751000,7984000,8393000,21
1008180021,40.73823,-73.99432,1150000,979000,1468000,2202000,2306000,21
1008180022,40.73821,-73.99423,1610000,2200000,2608000,2117000,2146000,21
1008180023,40.73818,-73.99415,1260000,1420000,2113000,1715000,1738000,21
1010540063,40.76122,-73.99397,1890000,2310000,2479000,2825000,2849000,1
1010540062,40.76128,-73.99393,1080000,935000,1402000,2103000,2524000,1
1010540061,40.76135,-73.99389,746000,772000,951000,1220000,1316000,1
1012030028,40.78759,-73.96831,1950000,2000000,2734000,2749000,2766000,17
1018150008,40.79619,-73.93133,645000,742000,744000,766000,772000,26
1018150009,40.79617,-73.93128,689000,792000,794000,787000,793000,26
